timestamp,ghi_wm2,temp_c,tipo_dia,bloque_horario,evento_social,hora,mes,dia_semana_0_6,dia_semana_iso,dow_sin,dow_cos,hora_sin,hora_cos,occ_dormitorios,occ_sala,occ_cocina,occ_servicios,occ_total,ocupacion_binaria,demanda_dormitorios_kwh,demanda_sala_kwh,demanda_cocina_kwh,demanda_servicios_kwh,load_base_kwh,load_tv_kwh,load_laptops_kwh,load_lavadora_kwh,demanda_casa_hora,energia_fv_kwh,unidad_energia_fv,potencia_fv_kw,unidad_potencia_fv,SOC_bateria_base,energia_bateria_base_kwh,energia_curtail_base_kwh,demanda_no_servida_base_kwh,ev_disponible,ev_presente,ev_ready,p_ev_max_kw,e_ev_max_kwh_h,ev_cargable,demanda_critica_hora,demanda_flexible_hora,demanda_controlable_hora,demanda_efectiva_u1,hay_excedente_fv,ducha_evento,ducha_minutos,ducha_potencial_kwh,ducha_modo
2025-01-01 00:00:00,0.0,6.68,evento,madrugada,1,0,1,2,3,0.4338837391175582,-0.900968867902419,0.0,1.0,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.5,0.0,0.0,0.0,1,0,1,3.3,3.3,0,0.172,0.0,0.17,0.342,0,0,0,0.0,none
2025-01-01 01:00:00,0.0,6.5,evento,madrugada,1,1,1,2,3,0.4338837391175582,-0.900968867902419,0.2588190451025207,0.9659258262890684,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.4639999999999999,-0.36,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.17,0.342,0,0,0,0.0,none
2025-01-01 02:00:00,0.0,6.19,evento,madrugada,1,2,1,2,3,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.4279999999999999,-0.36,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.17,0.342,0,0,0,0.0,none
2025-01-01 03:00:00,0.0,5.9,evento,madrugada,1,3,1,2,3,0.4338837391175582,-0.900968867902419,0.7071067811865476,0.7071067811865476,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.3919999999999999,-0.36,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.17,0.342,0,0,0,0.0,none
2025-01-01 04:00:00,0.0,5.66,evento,madrugada,1,4,1,2,3,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,5,0,0,0,5,1,0.185,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.0,kWh,0.0,kW,0.356,-0.36,0.0,0.0,1,0,1,3.3,3.3,0,0.172,0.0,0.17,0.342,0,0,0,0.0,none
2025-01-01 05:00:00,4.43,5.59,evento,madrugada,1,5,1,2,3,0.4338837391175582,-0.900968867902419,0.9659258262890684,0.2588190451025207,4,0,0,1,5,1,0.148,0.0,0.0,0.08,0.157,0.0,0.0,0.0,0.385,0.0,kWh,0.0,kW,0.3154736842105262,-0.4052631578947369,0.0,0.0,1,1,1,3.3,3.3,1,0.172,0.0,0.213,0.385,0,1,10,0.5833333333333333,bateria
2025-01-01 06:00:00,89.6,7.3,evento,manana,1,6,1,2,3,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,0,5,0,0,5,1,0.0,0.185,0.0,0.0,0.157,0.0,0.0,0.0,0.342,0.527729664,kWh,0.527729664,kW,0.3331180022905262,0.1764431807999999,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.185,0.342,1,1,11,0.6416666666666666,fv
2025-01-01 07:00:00,253.95,9.75,evento,manana,1,7,1,2,3,0.4338837391175582,-0.900968867902419,0.9659258262890684,-0.2588190451025208,0,4,0,1,5,1,0.0,0.148,0.0,0.08,0.157,0.0,0.0,0.0,0.385,1.495724868,kWh,1.495724868,kW,0.4386368647505262,1.0551886246,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.228,0.385,1,1,18,1.05,fv
2025-01-01 08:00:00,437.33,11.58,evento,manana,1,8,1,2,3,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,3,1,1,5,1,0.0,0.111,0.037,0.08,0.157,0.0,0.0,0.0,0.385,2.5758037272000003,kWh,2.5758037272000003,kW,0.6467632188345263,2.08126354084,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.228,0.385,1,0,0,0.0,none
2025-01-01 09:00:00,548.0,13.29,evento,manana,1,9,1,2,3,0.4338837391175582,-0.900968867902419,0.7071067811865476,-0.7071067811865475,0,5,0,0,5,1,0.0,0.185,0.0,0.0,0.157,0.0,0.0,0.0,0.342,3.22763232,kWh,3.22763232,kW,0.9208982892345264,2.741350704,0.0,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.185,0.342,1,0,0,0.0,none
2025-01-01 10:00:00,640.38,14.56,evento,manana,1,10,1,2,3,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,0,5,0,0,5,1,0.0,0.185,0.0,0.0,0.157,0.0,0.0,0.0,0.342,3.7717357392,kWh,3.7717357392,kW,1.0,0.7910171076547368,2.597086152195014,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.185,0.342,1,0,0,0.0,none
2025-01-01 11:00:00,675.83,15.03,evento,manana,1,11,1,2,3,0.4338837391175582,-0.900968867902419,0.258819045102521,-0.9659258262890682,1,4,0,0,5,1,0.037,0.148,0.0,0.0,0.157,0.0,0.0,0.0,0.342,3.9805305672000006,kWh,3.9805305672000006,kW,1.0,0.0,3.638530567200001,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.185,0.342,1,0,0,0.0,none
2025-01-01 12:00:00,719.3,15.01,evento,tarde,1,12,1,2,3,0.4338837391175582,-0.900968867902419,1.2246467991473532e-16,-1.0,0,4,1,0,5,1,0.0,0.148,0.037,0.0,0.157,0.0,0.0,0.0,0.342,4.236561911999999,kWh,4.236561911999999,kW,1.0,0.0,3.894561911999999,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.185,0.342,1,0,0,0.0,none
2025-01-01 13:00:00,643.42,14.76,evento,tarde,1,13,1,2,3,0.4338837391175582,-0.900968867902419,-0.2588190451025203,-0.9659258262890684,0,2,2,0,4,1,0.0,0.074,0.074,0.0,0.157,0.09,0.0,0.0,0.395,3.7896408528,kWh,3.7896408528,kW,1.0,0.0,3.3946408528,0.0,1,1,1,3.3,3.3,1,0.157,0.0,0.238,0.395,1,0,0,0.0,none
2025-01-01 14:00:00,440.23,14.31,evento,tarde,1,14,1,2,3,0.4338837391175582,-0.900968867902419,-0.5000000000000001,-0.8660254037844386,0,3,1,0,4,1,0.0,0.111,0.037,0.0,0.157,0.0,0.045,0.6,0.95,2.5928842632,kWh,2.5928842632,kW,1.0,0.0,1.6428842632000002,0.0,1,0,1,3.3,3.3,0,0.157,0.6,0.1929999999999999,0.95,1,0,0,0.0,none
